ID,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q87,Field,Hierarchy,Junior,Norms Prestige,Norms Less well know,Stealing Ideas,Zero Sum,Seminar,Conferences,Collaborate,Cooperate,important_materials,important_manuscripts,plan_data,plan_code,plan_MS,plan_instrument,other_MS_require,other_MS_prestige,other_MS_cooper,other_MS_public,other_MS_lab,other_materials_require,other_materials_prestige,other_materials_cooper,other_materials_public,other_materials_lab,self_MS_require,self_MS_prestige,self_MS_cooper,self_MS_public,self_MS_lab,self_materials_require,self_materials_prestige,self_materials_cooper,self_materials_public,self_materials_lab,Years,Identify,control_MS,control_materials,field_talking,formal_training,man_use_now,man_use_future
508,7/12/22 14:51,7/12/22 15:00,0,18.10.89.142,100,532,1,7/12/22 15:00,R_3st4tOYMXLAiasP,,,,,42.3649,-71.0987,anonymous,EN,1,Nanotechnology,4,2,4,5,1,1,5,1,4,2,5,5,4,,5,,3,4,4,666,4,4,4,4,3,666,4,5,5,4,4,4,5,5,3,4,32,4,4,4,3,2,1,1
35,6/9/22 6:53,6/9/22 7:03,0,69.174.145.7,100,609,1,6/9/22 7:03,R_2ykmA9weA4DH6A1,,,,,41.9199,-88.3075,anonymous,EN,1,physics,5,2,5,3,2,5,3,1,1,5,1,1,5,3,5,1,4,4,3,1,5,4,4,1,1,2,5,5,4,3,1,5,5,3,1,1,30,5,4,3,1,2,1,1
66,6/9/22 7:20,6/9/22 7:26,0,99.236.255.146,100,324,1,6/9/22 7:26,R_XFc2Ydrli2fhgcN,,,,,44.6088,-79.4252,anonymous,EN,1,Physics,3,1,1,2,1,1,1,1,4,5,3,5,,2,5,,1,4,5,4,1,1,1,5,3,1,1,4,5,4,1,,,,,,30,5,3,2,1,2,20,2
104,6/9/22 7:56,6/9/22 8:07,0,71.235.82.127,100,642,1,6/9/22 8:07,R_Ugrc83nykqBCVjz,,,,,42.2441,-71.1688,anonymous,EN,1,Physics,3,3,3,4,2,1,4,1,4,4,4,3,2,1,5,,2,5,5,3,3,5,1,4,4,4,1,5,5,3,3,,,,,,30,5,5,5,3,1,1,2
106,6/9/22 8:07,6/9/22 8:12,0,18.10.80.227,100,333,1,6/9/22 8:12,R_3KBFoexTBPgZ9FW,,,,,42.3649,-71.0987,anonymous,EN,1,Cancer Research,5,2,4,4,3,2,5,1,5,5,5,5,5,4,4,3,5,5,5,5,5,5,4,5,5,4,5,4,5,5,4,5,4,5,5,4,30,3,3,4,5,1,1,1
108,6/9/22 8:00,6/9/22 8:18,0,18.31.27.112,100,1102,1,6/9/22 8:18,R_3G9z6a6Hzd0QRbc,,,,,42.3649,-71.0987,anonymous,EN,1,climate dynamics,4,2,4,3,3,3,2,2,3,2,4,4,2,2,2,,1,2,2,1,1,2,2,2,1,2,1,1,2,1,1,,,,,,30,4,3,3,2,2,1,2
150,6/9/22 7:57,6/9/22 9:38,0,173.48.237.240,100,6115,1,6/9/22 9:38,R_6hvhQBd710pgN3P,,,,,42.5278,-71.104,anonymous,EN,1,Cancer Cell Biology,4,1,3,2,2,4,5,2,5,5,5,5,5,5,5,5,4,5,4,5,5,4,4,4,4,5,4,4,4,4,5,4,4,4,4,5,30,4,4,4,4,2,1,1
328,6/16/22 9:25,6/16/22 9:35,0,198.125.176.239,100,606,1,6/16/22 9:35,R_26am048zCTQDHaF,,,,,42.4748,-71.4499,anonymous,EN,1,"Plasma Physics, Fusion engineering, material science",5,2,2,3,2,2,4,1,4,5,5,5,5,5,5,,4,4,5,1,5,5,4,4,1,5,5,2,4,1,5,5,4,4,1,5,30,3,3,3,2,2,1,2
331,6/16/22 9:32,6/16/22 9:46,0,108.56.216.182,100,837,1,6/16/22 9:46,R_1M6QoZrNjhkS0oX,,,,,39.2756,-77.2115,anonymous,EN,1,planetary science,2,1,1,3,1,3,2,3,5,3,4,5,5,4,5,,2,2,3,4,,666,2,3,3,,1,1,1,4,,1,1,4,5,,30,4,5,5,2,2,20,2
482,7/12/22 9:31,7/12/22 9:52,0,18.10.95.69,100,1250,1,7/12/22 9:52,R_31FT1ZXaAZ1juCe,,,,,42.3649,-71.0987,anonymous,EN,1,neuroscience,3,3,3,2,3,2,4,3,3,2,2,2,4,,3,5,3,3,3,3,2,3,4,3,3,3,3,3,5,5,3,,,,,,30,4,1,1,4,2,1,2
489,7/12/22 9:51,7/12/22 9:59,0,18.10.75.38,100,431,1,7/12/22 9:59,R_yVAqk3tJtwhlxsd,,,,,42.3649,-71.0987,anonymous,EN,1,Brain Science,4,2,1,3,1,1,2,2,3,4,3,4,5,4,5,5,5,4,4,4,,5,4,5,5,,5,4,5,5,,5,4,5,5,,30,5,3,4,4,2,1,1
494,7/12/22 10:25,7/12/22 10:30,0,18.29.20.221,100,284,1,7/12/22 10:30,R_2pWaoACBPuT1muD,,,,,42.3649,-71.0987,anonymous,EN,1,biology,4,2,4,4,2,3,2,3,4,5,5,5,5,,5,,4,4,4,4,4,4,4,4,4,3,5,4,4,4,3,4,3,4,4,3,30,5,5,5,4,2,20,2
160,6/9/22 10:19,6/9/22 10:25,0,18.18.83.106,100,372,1,6/9/22 10:25,R_2eQkuj7QRuMYfvr,,,,,42.3649,-71.0987,anonymous,EN,1,Planetary Astronomy,5,2,4,3,3,4,2,3,5,5,5,5,5,3,5,,5,3,4,3,5,4,4,4,4,3,3,4,5,5,,3,4,5,5,,28,5,5,4,3,2,1,2
185,6/9/22 14:00,6/9/22 14:10,0,18.25.72.27,100,578,1,6/9/22 14:10,R_1EgSUtfNkBwqTVa,,,,,42.3649,-71.0987,anonymous,EN,1,astronomy,4,2,2,3,2,2,1,3,4,5,5,5,5,5,5,,1,5,4,3,5,4,4,4,3,3,3,5,5,2,4,4,4,5,2,3,28,5,5,5,4,2,1,1
95,6/9/22 7:47,6/9/22 7:55,0,209.6.128.70,100,455,1,6/9/22 7:55,R_1F8jzVLlas54E3k,,,,,42.3399,-71.1245,anonymous,EN,1,Biology,4,1,4,5,4,2,5,1,4,4,5,4,5,,4,3,3,3,4,3,,5,3,5,5,,3,4,5,5,,4,5,5,5,,26,5,4,4,5,2,20,2
134,6/9/22 8:53,6/9/22 9:03,0,18.18.93.72,100,604,1,6/9/22 9:03,R_3g8jQZ9u3rxLB8L,,,,,42.3649,-71.0987,anonymous,EN,1,systems electrophysiology,4,1,2,2,2,2,1,1,5,5,5,4,5,4,5,5,3,5,5,3,5,4,4,5,5,4,3,4,5,4,4,3,4,5,4,4,26,4,4,4,4,2,1,1
515,7/12/22 20:15,7/12/22 20:21,0,108.20.150.226,100,378,1,7/12/22 20:21,R_2QhCvBy7Ahx6Pp4,,,,,42.4188,-71.1557,anonymous,EN,1,Cancer Research,4,2,4,4,1,1,4,2,5,4,5,5,5,,5,,3,5,5,4,,3,4,4,3,,3,5,5,5,,3,3,5,5,,26,4,3,3,5,2,1,2
113,6/9/22 8:14,6/9/22 8:21,0,192.54.222.156,100,410,1,6/9/22 8:21,R_NWjc9qTSfE1E0wN,,,,,42.3649,-71.0987,anonymous,EN,1,cancer,5,1,5,4,3,4,1,3,4,5,5,5,,,,,666,4,4,4,4,666,4,4,4,666,,,,,,,,,,,25,3,1,1,2,2,1,1
189,6/9/22 15:58,6/9/22 16:03,0,209.6.133.72,100,262,1,6/9/22 16:03,R_2pYvvpTzRKQt71y,,,,,42.3399,-71.1245,anonymous,EN,1,Biology,2,2,3,4,3,1,4,2,4,4,5,5,5,5,5,,4,4,3,3,4,4,4,4,3,4,4,4,4,3,,4,4,4,3,,25,5,4,5,5,2,20,2
221,6/15/22 5:51,6/15/22 5:57,0,192.54.222.157,100,318,1,6/15/22 5:57,R_2ZV3rVkjd4gdCbd,,,,,42.3649,-71.0987,anonymous,EN,1,Oceanography,5,1,3,4,3,3,2,1,5,5,5,5,,,,,666,4,4,4,4,4,4,4,4,4,,,,,,,,,,,25,2,,,4,2,,
290,6/16/22 8:29,6/16/22 8:37,0,18.31.15.87,100,483,1,6/16/22 8:37,R_3NBMP5dKiBsPuUv,,,,,42.3649,-71.0987,anonymous,EN,1,protein biochemistry,3,3,3,4,2,1,2,1,4,4,5,4,5,5,5,,5,4,4,2,,5,3,4,2,,3,4,4,2,,5,4,4,2,,25,4,5,5,3,2,1,2
306,6/16/22 8:46,6/16/22 8:52,0,18.29.9.214,100,376,1,6/16/22 8:52,R_1i2wCVjWIXHKJ6v,,,,,42.3649,-71.0987,anonymous,EN,1,modeling of human disease,4,4,4,4,4,5,4,3,4,4,5,5,5,,4,,3,5,4,4,4,4,5,4,4,5,2,3,4,4,4,4,3,4,4,4,25,2,2,2,3,2,20,2
377,6/16/22 16:13,6/16/22 16:32,0,198.129.107.250,100,1144,1,6/16/22 16:32,R_2wHwD0W8tHSQcQh,,,,,32.8919,-117.2035,anonymous,EN,1,plasma physics,5,1,2,2,4,4,2,1,5,5,4,3,5,4,2,,1,2,2,2,1,2,2,5,2,4,1,2,4,2,1,2,2,5,3,1,25,5,5,3,2,2,1,2
498,7/12/22 9:30,7/12/22 10:52,0,18.10.94.162,100,4960,1,7/12/22 10:52,R_1eK6nW6I1nOzKul,,,,,42.3649,-71.0987,anonymous,EN,1,Physics,3,2,4,3,2,1,1,2,5,4,4,5,5,5,5,5,5,4,5,4,5,5,4,5,4,5,2,2,5,3,,2,2,5,3,,25,4,5,5,4,2,1,1
334,6/16/22 9:42,6/16/22 9:49,0,18.4.1.147,100,440,1,6/16/22 9:49,R_3qII9Ebv5PPw3WZ,,,,,42.3649,-71.0987,anonymous,EN,1,Biology,2,2,2,4,2,1,5,1,2,2,5,4,5,5,5,,4,5,4,4,,5,3,5,3,,3,4,3,2,,1,2,5,1,,23,5,5,5,3,2,1,2
27,6/9/22 6:49,6/9/22 7:00,0,146.115.70.253,100,662,1,6/9/22 7:00,R_VIpcI6bTM03Hn3j,,,,,42.4188,-71.1557,anonymous,EN,1,Chemistry,3,1,2,3,3,2,2,1,2,4,5,3,5,,2,,4,4,2,1,,4,2,4,3,,4,1,1,1,,3,3,5,2,,22,4,4,4,3,2,1,2
79,6/9/22 7:23,6/9/22 7:36,0,18.31.28.153,100,804,1,6/9/22 7:36,R_3nDv5qPgAqT2cIm,,,,,42.3649,-71.0987,anonymous,EN,1,Physics,4,2,4,4,4,1,4,1,5,5,4,5,4,4,4,2,5,3,3,2,5,5,2,2,2,5,5,3,5,4,4,,,,,,22,4,4,3,3,2,20,2
85,6/9/22 7:33,6/9/22 7:43,0,98.50.1.221,100,592,1,6/9/22 7:43,R_sFirPstsaiaf7wZ,,,,,39.2511,-107.2044,anonymous,EN,1,Physics,4,1,4,4,1,2,4,1,5,5,4,5,2,4,5,,4,5,4,3,,4,2,5,4,,3,4,5,2,,2,5,4,3,,22,5,5,5,3,2,1,2
305,6/16/22 8:41,6/16/22 8:52,0,93.143.150.32,100,666,1,6/16/22 8:52,R_1DNG44zKIdM4JhS,,,,,45.5473,18.6951,anonymous,EN,1,geosciences,4,1,3,3,2,2,3,4,3,5,5,4,5,5,5,2,4,4,3,3,4,5,3,3,3,5,5,5,4,3,,3,3,3,3,3,22,4,4,3,4,2,1,2
105,6/9/22 7:54,6/9/22 8:10,0,98.110.168.191,100,971,1,6/9/22 8:11,R_1hQCH4c7Apqe0Ex,,,,,42.2783,-71.1593,anonymous,EN,1,Planetary Science,2,2,2,4,2,3,1,2,5,3,5,5,5,,5,,5,5,3,3,,5,5,4,4,,5,5,4,4,,5,5,4,4,,21,4,1,1,4,2,1,2
146,6/9/22 9:10,6/9/22 9:24,0,108.26.240.186,100,823,1,6/9/22 9:24,R_2xY1HVVZ2xULYqs,,,,,42.4684,-70.9465,anonymous,EN,1,Biomedical/cancer,4,2,4,4,2,2,4,2,5,4,5,5,5,5,4,5,5,4,4,2,4,5,3,4,2,5,5,2,4,3,5,4,3,4,3,5,21,3,3,3,5,2,1,2
299,6/9/22 10:21,6/16/22 8:45,0,18.31.27.221,100,599041,1,6/16/22 8:45,R_552CMr2XGpqmVQR,,,,,42.3649,-71.0987,anonymous,EN,1,Cancer,3,3,3,4,3,2,3,1,5,5,5,5,,,,,666,5,5,4,666,666,1,1,666,1,,,,,,,,,,,21,3,1,1,5,2,20,2
47,6/9/22 7:01,6/9/22 7:10,0,172.58.219.187,100,539,1,6/9/22 7:10,R_1LGQtmRbDmORqXX,,,,,42.2903,-71.0798,anonymous,EN,1,Quantum information,4,1,3,5,2,2,4,1,4,5,5,5,,,5,,2,4,3,1,3,666,2,3,1,3,2,3,5,1,,1,2,4,1,,20,5,4,4,3,2,20,2
63,6/9/22 7:13,6/9/22 7:23,0,98.216.49.96,100,578,1,6/9/22 7:23,R_2SfAdNFqbFuHMLD,,,,,42.3737,-71.1284,anonymous,EN,1,astronomy,2,1,1,2,3,2,1,1,4,3,4,5,3,,5,,5,5,5,5,,5,5,5,5,,5,5,5,5,,5,4,5,5,,20,5,5,5,4,2,20,2
77,6/9/22 7:27,6/9/22 7:33,0,73.89.71.102,100,398,1,6/9/22 7:33,R_Wj3ARrF6kZaQRlT,,,,,42.5516,-71.9067,anonymous,EN,1,Cancer research,5,2,2,3,2,2,2,2,5,5,5,5,,,,,5,2,3,3,4,5,3,4,4,5,5,1,5,5,5,,,,,,20,4,1,1,5,2,20,1
107,6/9/22 7:50,6/9/22 8:17,0,47.14.109.156,100,1599,1,6/9/22 8:17,R_sAW1qA1saWSlGIV,,,,,42.1968,-71.7644,anonymous,EN,1,Neuroscience,4,2,5,5,4,4,4,2,5,5,5,5,3,3,3,3,3,3,2,2,4,4,3,3,3,4,4,3,4,5,3,,,,,,20,3,1,1,5,2,1,1
182,6/9/22 12:51,6/9/22 13:00,0,18.31.21.153,100,555,1,6/9/22 13:00,R_2uL0wkShCNOLV9p,,,,,42.3649,-71.0987,anonymous,EN,1,Visual Perception,4,2,2,5,2,2,4,3,4,5,5,4,4,,4,4,4,4,3,2,4,4,4,4,2,4,4,,4,2,2,4,4,4,2,2,20,4,3,3,4,2,1,1
208,6/10/22 18:36,6/10/22 18:46,0,64.112.182.10,100,617,1,6/10/22 18:46,R_3Ic7yUbVb5jG0jC,,,,,42.3388,-71.0726,anonymous,EN,1,astrophysics,2,3,2,4,3,2,4,1,2,5,5,5,5,4,5,,3,4,5,5,5,5,3,5,3,5,,5,4,4,,5,4,5,3,5,20,5,5,5,5,2,1,1
353,6/16/22 9:53,6/16/22 10:44,0,18.18.83.175,100,3023,1,6/16/22 10:44,R_2SjG9YVCX50Vt14,,,,,42.3649,-71.0987,anonymous,EN,1,Geophysics,4,3,4,4,4,3,4,3,4,4,4,4,5,5,4,4,3,4,4,3,4,3,4,4,3,4,3,4,4,4,3,3,4,4,3,3,20,4,4,3,4,2,1,1
472,7/12/22 9:30,7/12/22 9:35,0,4.15.70.78,100,334,1,7/12/22 9:35,R_yLc4757Phea2Cqd,,,,,42.3498,-71.0765,anonymous,EN,1,Earth Atmospheric and Planetary Sciences,5,4,5,5,5,5,5,4,4,3,5,5,5,5,5,4,5,5,2,3,,5,4,2,2,,5,5,4,3,,5,5,2,2,,20,2,4,4,3,2,1,2
196,6/9/22 20:58,6/9/22 21:08,0,209.6.236.146,100,594,1,6/9/22 21:08,R_2WDqzcpetsNWBMk,,,,,42.2783,-71.1593,anonymous,EN,1,neuroscience,3,2,3,4,4,1,3,1,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,4,1,5,5,5,4,1,5,5,5,4,19,5,3,4,5,2,1,2
